,rooms,type,meters,district,price,price_per_meter,terms_of_transaction,mortgage,floor 1,floor 2,living_area,window_view,repair ,type_of_house,year_at_home,parking,address,hospital_info,eat_info,school_info,average_time,toilet,balcony,elevators,service lift
0,2,квартира,63.7,р-н Приморский,15900000.0,249608.0,свободная продажа,возможна,,,,Во двор,Без ремонта,,2023.0,Подземная,"Санкт-Петербург, Белоостровская ул., 7",38,223,16,7.333333333333333,1.0,1.0,1,1
1,5,квартира,313.0,р-н Центральный,179000000.0,571885.0,свободная продажа,возможна,7.0,9.0,163.0,На улицу и двор,Дизайнерский,,2005.0,,"Санкт-Петербург, наб. Воскресенская, 4",89,570,38,5.5,3.0,2.0,1,0
2,3,квартира,98.8,р-н Приморский,19600000.0,198381.0,альтернатива,возможна,21.0,25.0,28.4,Во двор,Евроремонт,Кирпичный,2011.0,,"Санкт-Петербург, просп. Королева, 65",19,69,9,8.333333333333334,2.0,1.0,3,1
3,2,квартира,46.0,р-н Фрунзенский,8000000.0,173913.0,альтернатива,возможна,3.0,9.0,30.0,Во двор,Косметический,Кирпичный,1968.0,,"Санкт-Петербург, Альпийский пер., 15К3",23,104,7,10.0,1.0,1.0,1,0
4,3,квартира,90.1,р-н Приморский,16900000.0,187569.0,свободная продажа,возможна,12.0,17.0,33.2,На улицу,Косметический,Кирпичный,2001.0,Наземная,"Санкт-Петербург, ул. Савушкина, 117к2",17,140,2,5.333333333333333,2.0,1.0,1,1
5,2,квартира,47.0,р-н Красносельский,6500000.0,138298.0,свободная продажа,возможна,2.0,9.0,29.7,На улицу,Косметический,Кирпичный,1970.0,Наземная,"Санкт-Петербург, ул. Тамбасова, 36к1",4,28,0,0.0,1.0,1.0,1,0
6,4,квартира,280.0,р-н Центральный,392000000.0,1400000.0,свободная продажа,,3.0,4.0,162.0,На улицу и двор,Дизайнерский,Кирпичный,1832.0,,"Санкт-Петербург, наб. Кутузова, 18",105,905,48,10.5,5.0,0.0,1,0
7,2,квартира,43.4,р-н Красносельский,5900000.0,135945.0,свободная продажа,возможна,6.0,9.0,26.6,Во двор,Без ремонта,Панельный,1982.0,,"Санкт-Петербург, Стрельнинское ш., 4к2",5,24,0,23.333333333333332,1.0,1.0,1,0
8,4,квартира,280.0,р-н Центральный,392000000.0,1400000.0,свободная продажа,,3.0,4.0,140.0,,Дизайнерский,Кирпичный,,,"Санкт-Петербург, наб. Кутузова, 24",110,981,52,11.0,0.0,0.0,0,0
9,1,квартира,35.0,р-н Василеостровский,11850000.0,338571.0,переуступка,возможна,4.0,19.0,12.5,,,Монолитный,,,"Санкт-Петербург, Морской, Невская Губа территория",0,0,0,8.0,0.0,0.0,2,2
10,3,квартира,125.0,р-н Петроградский,160000000.0,1280000.0,свободная продажа,,3.0,3.0,12.0,На улицу и двор,Дизайнерский,Кирпичный,2003.0,,"Санкт-Петербург, 2-я Березовая аллея, 13-15",43,230,18,9.0,2.0,0.0,1,0
11,4,квартира,135.0,р-н Центральный,165000000.0,1222222.0,свободная продажа,,4.0,4.0,30.0,Во двор,Дизайнерский,Монолитно-кирпичный,,,"Санкт-Петербург, наб. Кутузова, 24",110,981,52,11.0,0.0,0.0,0,0
12,2,квартира,79.5,р-н Петроградский,28700000.0,361006.0,свободная продажа,возможна,4.0,8.0,29.6,На улицу и двор,Без ремонта,Монолитный,2021.0,Подземная,"Санкт-Петербург, Петровский просп., 22к2",65,236,14,9.666666666666666,2.0,1.0,1,1
13,3,квартира,125.0,р-н Петроградский,160000000.0,1280000.0,свободная продажа,,3.0,3.0,12.0,,Дизайнерский,Кирпичный,2003.0,,"Санкт-Петербург, 2-я Березовая аллея, 13-15В",0,0,0,9.333333333333334,0.0,0.0,0,0
14,2,квартира,65.77,р-н Петроградский,26000000.0,395317.0,свободная продажа,возможна,4.0,8.0,35.7,На улицу и двор,Без ремонта,Монолитный,,Подземная,"Санкт-Петербург, Ремесленная ул., 17",105,373,24,4.333333333333333,1.0,0.0,1,1
15,1,квартира,51.5,р-н Петроградский,28500000.0,553398.0,свободная продажа,возможна,2.0,11.0,12.0,Во двор,Дизайнерский,Монолитный,2022.0,Подземная,"Санкт-Петербург, Петровский просп., 11к3",53,200,13,5.0,1.0,0.0,1,0
16,4,квартира,130.1,р-н Петроградский,50000000.0,384320.0,переуступка,возможна,9.0,9.0,60.0,На улицу и двор,,Монолитный,,Подземная,"Санкт-Петербург, Посадский, Петроградская наб.",93,610,48,11.333333333333334,2.0,2.0,2,0
17,3,квартира,138.0,р-н Петроградский,147990000.0,1072391.0,свободная продажа,,3.0,5.0,33.0,На улицу,Дизайнерский,Монолитно-кирпичный,,,"Санкт-Петербург, наб. Мартынова, 62И",14,92,6,7.666666666666667,0.0,0.0,0,0
18,4,квартира,153.5,р-н Петроградский,106500000.0,693811.0,свободная продажа,,6.0,7.0,88.5,На улицу и двор,Дизайнерский,Кирпичный,2006.0,,"Санкт-Петербург, Песочная наб., 40",95,427,38,7.666666666666667,2.0,1.0,1,0
19,3,квартира,71.2,р-н Василеостровский,15150000.0,212781.0,свободная продажа,возможна,14.0,19.0,39.8,На улицу и двор,Косметический,Монолитный,2017.0,Наземная,"Санкт-Петербург, бул. Вилькицкий, 6",6,44,2,11.0,2.0,2.0,2,1
20,1,квартира,54.0,р-н Василеостровский,12500000.0,231481.0,свободная продажа,возможна,9.0,17.0,33.0,,Евроремонт,,2006.0,Наземная,"Санкт-Петербург, Морская наб., 37к5",11,60,7,13.0,0.0,2.0,2,0
21,2,квартира,42.4,р-н Кировский,10000000.0,235849.0,свободная продажа,возможна,3.0,9.0,,Во двор,Дизайнерский,Панельный,1964.0,Наземная,"Санкт-Петербург, Ленинский просп., 130К2",20,118,4,4.333333333333333,1.0,0.0,1,0
22,5,квартира,300.0,р-н Петроградский,115000000.0,383333.0,свободная продажа,возможна,4.0,4.0,144.0,На улицу и двор,Евроремонт,Кирпичный,1998.0,,"Санкт-Петербург, Константиновский просп., 26Г",38,178,16,6.0,4.0,0.0,1,0
23,3,квартира,201.8,р-н Петроградский,58320000.0,288999.0,свободная продажа,,1.0,6.0,107.1,На улицу и двор,Без ремонта,,,,"Санкт-Петербург, наб. Мартынова, 74Д",14,92,6,6.0,3.0,0.0,1,0
